country_code,country_name,cluster,label,mean,std,growth,trend,mean_p1,mean_p2,mean_p3
ABW,Aruba,0,Emisi Rendah,6487.888,5933.832422757319,-10208.928,-280.46370197044337,12980.987,4511.568,1971.1090000000002
AFG,Afghanistan,0,Emisi Rendah,2505.6109250907894,1964.3639802561102,5665.62892370605,72.25773301836476,1412.8951000000002,2030.9376499999998,4073.0000252723685
AGO,Angola,0,Emisi Rendah,11000.867437556968,8890.48636015925,24659.9490844727,483.2645813167337,2808.1886,8504.91385,21689.499862670906
ALB,Albania,0,Emisi Rendah,4413.947384763845,1899.1193762709572,2805.81592370605,8.638440230710607,3865.9347499999994,5072.9074,4303.000004291536
AND,Andorra,0,Emisi Rendah,487.6666655937831,47.797023114666445,90.0,2.373748729703684,440.0,538.9999964237214,484.00000035762775
ARG,Argentina,0,Emisi Rendah,116872.60283719075,38325.97425151755,119284.90210351601,2133.6177767922463,77689.062,112466.74465000001,160462.00186157227
ARM,Armenia,0,Emisi Rendah,5692.000004132588,4184.211913199018,-13679.999923706051,-153.8331460263227,7523.0,4188.999978065491,5364.000034332276
ATG,Antigua and Barbuda,0,Emisi Rendah,387.660032558473,245.0276624371576,483.329980926514,3.7729561511327288,408.5038,241.47629999999998,512.999997675419
AUS,Australia,0,Emisi Rendah,262039.70216516932,99051.24543750027,298327.64777929697,5651.940608036416,143869.42784999998,266711.67949999997,375537.9991455079
AUT,Austria,0,Emisi Rendah,57609.74911326091,10915.739587280188,33948.8616430664,532.8552124383851,47088.13035,57763.61714999999,67977.49983978271
AZE,Azerbaijan,0,Emisi Rendah,32661.000071207687,9140.817722439702,-17970.001678466797,-468.79866100816156,38948.0,28126.0000076294,30909.000205993663
BDI,Burundi,0,Emisi Rendah,203.41329385364463,143.63247047545175,675.996028610229,6.935619201105209,73.533,208.9917894736842,321.50000217556936
BEL,Belgium,0,Emisi Rendah,111120.92625844727,12866.123825094159,2009.7301362305006,-293.43824828202025,117924.8528,112419.42624999999,103018.49972534183
BEN,Benin,0,Emisi Rendah,1731.065891916402,2124.6377871425702,7138.65219073486,103.73710053579595,246.78910000000002,602.90855,4343.500025749206
BFA,Burkina Faso,0,Emisi Rendah,1037.952054331271,1230.2763268416916,4955.996,58.34741931688938,160.6146,580.74155,2372.5000129938135
BGD,Bangladesh,0,Emisi Rendah,25844.620935013834,21857.10590996049,76585.3778637695,936.6532152198994,14106.398949999999,12703.964,50723.49985504151
BGR,Bulgaria,0,Emisi Rendah,57947.82056725668,17893.658125010024,16844.6393896484,-267.39432585310857,57347.11290000001,71392.34855,45104.00025177002
BHR,Bahrain,0,Emisi Rendah,13263.126955358886,9534.335970455882,32684.279321533202,537.4569339181539,3396.5587499999992,11653.8222,24738.99991607666
BHS,"Bahamas, The",0,Emisi Rendah,2968.0420449137373,2183.664436741475,2429.29591416931,-15.151383457104352,4000.14695,2315.4792,2588.499984741211
BIH,Bosnia and Herzegovina,0,Emisi Rendah,16618.666656494144,5963.9968408517625,-2900.0003051757994,422.06007005057154,11527.0,16709.99991607665,21619.00005340577
BLR,Belarus,0,Emisi Rendah,61735.333180745445,11942.012059199591,-42160.0018310547,-760.3025834504707,71294.0,55688.0001373291,58223.99940490721
BLZ,Belize,0,Emisi Rendah,348.39583251873654,242.49894054228025,595.995985694885,11.880250568566636,125.96145000000001,319.22605,599.9999975562095
BMU,Bermuda,0,Emisi Rendah,446.9236666666667,157.09878593490853,454.70799999999997,7.636334975369459,276.183,505.66,558.9279999999999
BOL,Bolivia,0,Emisi Rendah,8268.148495549516,6257.993607445386,21335.2421525879,331.1885088855298,2732.09835,6920.34715,15151.999986648554
BRA,Brazil,0,Emisi Rendah,236581.91093642585,130544.60354352204,387391.72379296896,7364.141237585914,101600.1022,215157.1336,392988.49700927746
BRB,Barbados,0,Emisi Rendah,982.5021940395355,658.2062459504909,1077.651,28.302949432310925,401.9032,955.6034,1589.999982118606
BRN,Brunei Darussalam,0,Emisi Rendah,4874.9137142598465,2766.058813329844,6656.30277111816,82.08456692981429,4186.2472,3869.494,6568.999942779539
BTN,Bhutan,0,Emisi Rendah,254.99445703168857,293.62952625419246,1046.3329523162802,17.80167565072602,18.1058125,150.58999968444598,582.3529327616968
BWA,Botswana,0,Emisi Rendah,3049.7087186648055,2089.208986811894,7227.998,142.94831102719888,758.3814375,3154.494705381394,5236.250013113023
CAN,Canada,0,Emisi Rendah,434892.07413046877,106525.22741376079,387314.820972656,5830.000463628571,317844.1923,439187.52764999995,547644.5024414062
